City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
96,kruisfontein,-34.0033,24.7314,282.53,88,64,3.16,ZA
97,aguai,-22.0594,-46.9786,289.89,49,2,1.07,BR
98,iqaluit,63.7506,-68.5145,280.0,87,75,3.09,CA
99,bilibino,68.0546,166.4372,284.5,69,100,1.61,RU
100,aasiaat,68.7098,-52.8699,275.32,96,31,2.81,GL
101,kidal,18.4411,1.4078,305.32,37,89,3.18,ML
102,shahrud,36.4182,54.9763,296.36,55,40,4.22,IR
103,xai-xai,-25.0519,33.6442,286.97,87,0,3.35,MZ
104,ushuaia,-54.8,-68.3,273.96,60,75,2.06,AR
105,usinsk,65.9939,57.5281,290.67,80,51,1.64,RU
106,messini,37.0511,22.0078,301.03,69,0,4.63,GR
107,hithadhoo,-0.6,73.0833,301.46,78,37,7.18,MV
108,kone,-21.0595,164.8658,297.42,41,0,4.44,NC
109,alofi,-19.0595,-169.9187,297.09,100,75,2.57,NU
110,ribeira grande,38.5167,-28.7,295.8,96,51,4.02,PT
111,praya,14.9215,-23.5087,299.45,89,20,5.66,CV
112,arkhangel'sk,64.5401,40.5433,288.53,83,100,1.39,RU
113,wailua homesteads,22.0669,-159.378,301.59,78,40,7.2,US
114,siocon,7.7061,122.1353,301.82,76,91,3.77,PH
115,ulsan,35.5372,129.3167,305.89,54,14,2.21,KR
116,ryotsu-minato,38.0833,138.4333,302.96,65,3,0.47,JP
117,hibbing,47.4272,-92.9377,296.83,88,0,1.54,US
118,nemuro,43.3236,145.575,293.22,90,100,3.92,JP
119,dalandzadgad,43.5708,104.425,300.84,28,8,3.85,MN
120,grand falls-windsor,48.9332,-55.6649,289.89,95,22,2.74,CA
121,namibe,-15.1961,12.1522,288.31,91,68,3.46,AO
122,talnakh,69.4865,88.3972,299.38,48,65,2.7,RU
123,margaret river,-33.95,115.0667,287.22,63,98,6.1,AU
124,dudinka,69.4058,86.1778,299.61,57,66,2.3,RU
125,dhidhdhoo,6.8833,73.1,301.01,73,94,2.4,MV
126,san luis de la loma,17.2706,-100.8939,300.67,82,63,2.98,MX
127,cabo san lucas,22.8909,-109.9124,304.6,77,20,5.14,MX
128,mejit,10.2753,170.8646,301.25,80,100,7.52,MH
129,keflavik,64.0049,-22.5624,282.39,93,20,5.14,IS
130,hawaiian paradise park,19.5933,-154.9731,300.88,90,40,4.12,US
131,victorica,-36.2151,-65.4359,280.79,55,87,4.07,AR
132,plettenberg bay,-34.0527,23.3716,284.81,82,10,2.34,ZA
133,burang,30.25,81.1667,284.26,82,100,1.8,CN
134,markovo,57.3206,107.0881,296.82,65,100,1.96,RU
135,jalalaqsi,3.3766,45.5996,295.64,86,96,6.52,SO
136,pacific grove,36.6177,-121.9166,291.29,91,100,3.6,US
137,bambari,5.768,20.6757,294.15,97,100,0.21,CF
138,bucerias,20.75,-105.3333,300.14,89,75,2.06,MX
139,jinghong,21.991,100.7341,306.05,48,100,0.83,CN
140,port lincoln,-34.7333,135.8667,291.47,58,100,9.15,AU
141,mouila,-1.8685,11.0559,294.43,89,50,0.66,GA
142,kavaratti,10.5669,72.642,301.28,73,100,6.03,IN
143,kolonia town,6.964,158.206,303.21,74,75,2.06,FM
144,lorengau,-2.0226,147.2712,301.97,80,62,5.66,PG
145,alesund,62.4723,6.1549,289.21,97,100,3.6,NO
146,penalva,-3.2942,-45.1736,296.08,83,5,1.75,BR
147,havsa,41.549,26.8221,295.64,65,77,5.39,TR
148,flying fish cove,-10.4217,105.6791,298.97,83,100,5.66,CX
149,maintal,50.15,8.8333,288.77,83,100,2.17,DE
150,holbrook,40.8123,-73.0784,298.12,86,20,4.12,US
151,iquique,-20.2208,-70.1431,291.17,85,63,0.52,CL
152,cabinda,-5.55,12.2,293.82,93,5,2.51,AO
153,cesme,38.3228,26.3064,299.99,78,20,3.09,TR
154,new plymouth,-39.0667,174.0833,283.32,61,47,10.21,NZ
155,port elizabeth,-33.918,25.5701,287.31,77,0,4.63,ZA
156,uturoa,-16.7333,-151.4333,298.93,83,50,3.62,PF
157,uwajima,33.2238,132.56,304.02,66,92,2.36,JP
158,new norfolk,-42.7826,147.0587,286.99,51,100,1.91,AU
159,hutchinson,38.0608,-97.9298,304.28,52,0,3.09,US
160,mount gambier,-37.8333,140.7667,288.91,55,30,5.39,AU
161,muravlenko,63.7898,74.523,294.68,63,52,4.35,RU
162,lom,43.8139,23.2361,290.94,61,28,9.75,BG
163,afaahiti,-17.75,-149.2833,297.08,83,61,2.53,PF
164,namdrik,5.5994,168.1028,301.57,69,89,0.49,MH
165,cabedelo,-6.9811,-34.8339,296.52,87,55,4.64,BR
166,n'zeto,-7.2312,12.8666,293.47,90,4,3.35,AO
167,vorgashor,67.5833,63.95,287.05,86,100,1.14,RU
168,nikolayevsk-on-amure,53.1406,140.73,300.49,47,99,3.59,RU
169,augusto correa,-1.0217,-46.635,296.91,92,35,1.51,BR
170,margate,51.3813,1.3862,289.76,94,100,4.47,GB
171,nsanje,-16.92,35.262,288.8,95,10,0.58,MW
172,kuta,-8.7233,115.1723,301.12,74,20,5.81,ID
173,alice springs,-23.7,133.8833,296.9,46,75,7.2,AU
174,douentza,14.9951,-2.9517,304.45,41,100,1.56,ML
175,puerto baquerizo moreno,-0.9,-89.6,297.17,80,90,5.59,EC
176,tungipara,22.9,89.9167,304.67,66,63,5.33,BD
177,monte carmelo,-18.7247,-47.4986,289.9,37,0,1.91,BR
178,greymouth,-42.4667,171.2,283.0,62,69,0.95,NZ
179,ola,59.5833,151.2833,289.9,98,100,3.91,RU
180,egilsstadir,65.2653,-14.3948,280.74,97,100,3.98,IS
181,alamosa,37.4695,-105.87,296.14,38,20,2.57,US
182,darwin,-12.4611,130.8418,302.14,37,0,2.06,AU
183,moissala,8.3404,17.7663,294.62,94,100,1.05,TD
184,nogliki,51.8333,143.1667,290.24,97,100,3.97,RU
185,gangolli,13.65,74.6667,298.94,85,100,4.47,IN
186,santa eularia des riu,38.9846,1.5341,300.1,78,40,3.09,ES
187,pisco,-13.7,-76.2167,290.18,82,0,1.54,PE
188,tolanaro,-25.0319,46.9987,292.42,57,88,5.07,MG
